Ma SP,Ten SP,Nha SX,So luong,Don vi,Gia ban,NSX,HSD
DAN101,Snack khoai tay Lays,Lays,200,goi,20000,01/07/2024,01/07/2025
DAN102,Snack rong bienTao Kae Noi,Tao Kae Noi,200,goi,25000,15/06/2024,15/06/2025
DAN103,Banh quy Oreo,Mondelez,100,goi,30000,01/05/2024,01/05/2025
DAN104,Keo mut Chupa Chups,Chupa Chups,300,cai,1000,01/06/2024,01/06/2025
DAN105,Banh gao One One,Acecook,200,goi,15000,10/05/2024,10/05/2025
DAN106,Snack bo kho Dai Loan,Hsin Tung Yang,200,goi,40000,20/06/2024,20/06/2025
DAN107,Banh quy Ritz,Mondelez,200,goi,25000,05/07/2024,05/07/2025
DAN108,Snack Poca,Poca,200,goi,20000,10/07/2024,10/07/2025
DAN109,Keo mem Sugus,Sugus,100,goi,10000,01/06/2024,01/06/2025
DAN110,Banh xop KitKat,Nestle,100,goi,15000,20/05/2024,20/05/2025
DAN111,Keo so co la M&M's,Mars,100,goi,25000,01/06/2024,01/06/2025
DAN112,Snack que Pocky,Glico,200,goi,20000,15/06/2024,15/06/2025
DAN113,Banh Oreo Thins,Mondelez,150,goi,30000,05/07/2024,05/07/2025
DAN114,Keo deo Haribo,Haribo,100,goi,25000,01/06/2024,01/06/2025
DAN115,Banh quy Danisa,Danisa,150,goi,50000,10/5/2024,10/5/2025
DAN116,Snack tom hum X.O,X.O,200,goi,35000,20/06/2024,20/06/2025
DAN117,Banh quy Digestive,McVitie's,200,goi,30000,01/07/2024,01/07/2025
DAN118,Keo so co la Ferrero Rocher,Ferrero,100,goi,60000,01/05/2024,01/05/2025
DAN119,Snack bap rang Caramel,Tan Tan,200,goi,20000,10/06/2024,10/06/2025
DAN120,Banh quy Marie,Danone,200,goi,15000,05/07/2024,05/07/2025
DAN121,Keo bac ha Halls,Mondelez,100,goi,10000,01/06/2024,01/06/2025
DAN122,Snack pho mai Cheese Balls,Utz,200,goi,25000,15/06/2024,15/06/2025
DAN123,Banh xop Loacker,Loacke,150,goi,40000,20/05/2024,20/05/2025
DAN124,Keo sua Milkita,PT. Inasentra Unisatya,100,goi,15000,01/06/2024,01/06/2025
DAN125,Snack ga ran BBQ,Orion,200,goi,20000,10/07/2024,10/07/2025
DAN126,Banh quy Tim Tam,Arnott's,100,goi,30000,01/05/2024,01/05/2025
DAN127,Keo trai cay Skittles,Mars,80,goi,20000,01/06/2024,01/06/2025
DAN128,Snack tao bien Bibigo,CJ CheilJedang,150,goi,25000,15/06/2024,15/06/2025
DAN129,Banh xop Choco Pie,Orion,150,goi,40000,20/05/2024,20/05/2025
DAN130,Banh quy Meiji,Meiji,150,goi,25000,01/07/2024,01/07/2025
