Ma SP,Ten SP,Nha SX,So luong,Don vi,Gia ban,NSX,HSD
DUN301,Coca-Cola,The Coca-Cola Company,200,lon,10000,01/07/2024,01/07/2025
DUN302,Pepsi,PepsiCo,200,lon,10000,05/06/2024,05/06/2025
DUN303,Tra xanh khong do,Tan Hiep Phat,200,chai,12000,01/06/2024,01/06/2025
DUN304,Tra Oolong Tea Plus,Suntory PepsiCo,150,chai,15000,10/05/2024,10/05/2025
DUN305,Nuoc cam Twister,PepsiCo,150,lon,25000,20/06/2024,20/06/2025
DUN306,Nuoc ep tao Tropicana,PepsiCo,150,lon,30000,05/07/2024,05/07/2025
DUN307,Sua dau nanh Fami,Vinasoy,200,hop,6000,10/07/2024,10/07/2025
DUN308,Nuoc khoang Lavie,Nestle,500,chai,8000,01/07/2024,01/07/2025
DUN309,Nuoc tang luc Red Bull,Red Bull,200,lon,15000,01/06/2024,01/06/2025
DUN310,Nuoc ngot Sprite,The Coca-Cola Company,150,lon,10000,20/05/2024,20/05/2025
